item,brand,retail,release,lowestAsk,highestBid,annualHigh,annualLow,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,img_path
Air Jordan 4 Retro SB Pine Green,Jordan,225,2023-03-21,325,480,952,280,0.061347,5408,0.542,388,347,feetflix/Jordan 4 Retro SB Pine Green.jpg
Air Jordan 3 Retro White Cement Reimagined,Jordan,210,2023-03-11,190,280,757,150,0.115522,16894,0.111,297,234,feetflix/Jordan 3 Retro White Cement Reimagined.jpg
Nike Air Force 1 Low Tiffany & Co.,Nike,400,2023-03-07,893,1526,4831,705,0.232434,4711,1.125,1160,850,feetflix/Nike Air Force 1 Low Tiffany & Co. 1837.jpg
Nike Air Max 1 '86 Big Bubble Sport Red,Nike,150,2023-03-26,177,200,550,150,0.095096,603,0.2,228,180,feetflix/Nike Air Max 1 '86 Big Bubble Sport Red.jpg
MSCHF Big Red Boot,MSCHF,350,2023-02-16,570,611,2445,498,0.186197,323,1.373,883,831,feetflix/MSCHF Big Red Boot.jpg
New Balance 990v6 Action Bronson Baklava,New Balance,220,2023-03-17,320,450,844,251,0.13197,281,0.586,403,349,feetflix/New Balance 990v6 Action Bronson Baklava.jpg
Nike Dunk Low Retro White Black Panda 2021,Nike,110,2021-03-10,139,165,697,0,0.046333,233962,0.318,191,145,feetflix/Nike Dunk Low Retro White Black Panda 2021.jpg
Nike Dunk Low Retro White Black Panda 2021 W,Nike,100,2021-03-10,130,141,308,110,0.059427,109763,0.44,179,144,feetflix/Nike Dunk Low Retro White Black Panda 2021 W.jpg
Nike Dunk Low Grey Fog,Nike,100,2021-09-21,145,265,569,120,0.09535,25651,0.69,216,169,feetflix/Nike Dunk Low Grey Fog.jpg
Nike Dunk Low Retro White Black Panda 2021 GS,Nike,85,2021-03-10,112,126,278,88,0.042461,87660,0.529,162,130,feetflix/Nike Dunk Low Retro White Black Panda 2021 GS.jpg
Nike Air Force 1 Low '07 White,Nike,110,2007-11-24,87,90,258,28,0.121198,113300,0.147,113,127,feetflix/Nike Air Force 1 Low '07 White.jpg
Nike Dunk Low SE Sand Drift W,Nike,120,2023-03-04,127,145,244,105,0.063113,3175,0.108,155,133,feetflix/Nike Dunk Low SE Sand Drift W.jpg
Air Jordan 5 Retro UNC University Blue,Jordan,225,2023-03-04,225,255,750,150,0.064158,10845,0.164,264,262,feetflix/Jordan 5 Retro UNC University Blue.jpg
Nike Dunk Low Industrial Blue Sashiko,Nike,120,2023-03-09,119,135,213,100,0.055513,4522,0.277,137,154,feetflix/Nike Dunk Low Industrial Blue Sashiko.jpg
Nike Dunk Low Retro Miami Hurricanes,Nike,110,2022-10-01,84,220,254,74,0.215143,13325,-0.127,120,96,feetflix/Nike Dunk Low Retro Miami Hurricanes.jpg
Nike Dunk Low Light Orewood Brown Sashiko,Nike,120,2023-03-09,124,137,252,106,0.127075,4008,0.075,147,129,feetflix/Nike Dunk Low Light Orewood Brown Sashiko.jpg
Nike Dunk Low Rose Whisper W,Nike,100,2022-03-01,119,135,310,111,0.082742,27179,0.24,167,124,feetflix/Nike Dunk Low Rose Whisper W.jpg
Nike Dunk Low Retro Red Swoosh Panda,Nike,110,2022-10-01,102,180,257,78,0.045157,11194,-0.045,130,105,feetflix/Nike Dunk Low Retro Red Swoosh Panda.jpg
Nike SB Dunk Low Pro White Gum,Nike,110,2023-03-01,143,168,363,121,0.042257,6730,0.573,167,173,feetflix/Nike SB Dunk Low Pro White Gum.jpg
Air Jordan 4 Retro SE Craft Photon Dust,Jordan,210,2023-02-11,164,247,650,131,0.081714,7146,0.171,279,246,feetflix/Jordan 4 Retro SE Craft Photon Dust.jpg
Air Jordan 4 Retro Seafoam W,Jordan,210,2023-02-09,221,278,504,197,0.117782,6780,0.19,285,250,feetflix/Jordan 4 Retro Seafoam W.jpg
Nike Air Force 1 Low Supreme White,Nike,96,2020-03-05,140,181,610,22,0.130324,32532,0.798,165,173,feetflix/Nike Air Force 1 Low Supreme White.jpg
Air Jordan 1 Mid SE Space Jam,Jordan,135,2023-01-23,123,170,400,115,0.124374,6389,0.185,158,160,feetflix/Jordan 1 Mid SE Space Jam.jpg
Nike Dunk Low Next Nature White Black Panda W,Nike,100,2021-11-03,131,175,315,90,0.042696,25518,0.35,171,135,feetflix/Nike Dunk Low Next Nature White Black Panda W.jpg
Nike Dunk Low Summit White Midnight Navy,Nike,110,2023-01-31,126,158,295,112,0.086129,4003,0.275,144,141,feetflix/Nike Dunk Low Summit White Midnight Navy.jpg
Air Jordan 1 Retro High OG Skyline,Jordan,180,2023-04-08,154,200,430,100,0.095113,597,0.097,200,198,feetflix/Jordan 1 Retro High OG Skyline.jpg
New Balance 550 White Green,New Balance,120,2021-06-24,126,160,920,101,0.119007,19853,0.3,209,156,feetflix/New Balance 550 White Green.jpg
Nike Air Force 1 Low SP AMBUSH Black,Nike,190,2023-02-28,150,202,436,101,0.095798,1313,0.226,210,233,feetflix/Nike Air Force 1 Low SP AMBUSH Black.jpg
Air Jordan 3 Retro White Cement Reimagined GS,Jordan,150,2023-03-11,128,150,245,112,0.139993,2212,0.0,162,150,feetflix/Jordan 3 Retro White Cement Reimagined GS.jpg
adidas Yeezy Slide Onyx,adidas,60,2022-03-07,148,260,425,57,0.106173,112758,2.937,145,237,feetflix/adidas Yeezy Slide Onyx.jpg
Air Jordan 11 Retro Cherry 2022,Jordan,225,2022-12-10,192,270,683,0,0.125715,45330,0.027,277,231,feetflix/Jordan 11 Retro Cherry 2022.jpg
adidas Samba OG Cloud White Core Black,adidas,100,2018-01-01,90,125,468,54,0.10556,7341,0.586,141,159,feetflix/adidas Samba OG Cloud White Core Black.jpg
Air Jordan 1 Retro High OG True Blue,Jordan,180,2023-01-14,132,175,486,98,0.085934,9441,0.018,182,184,feetflix/Jordan 1 Retro High OG True Blue.jpg
Nike KD 15 Aunt Pearl,Nike,150,2022-10-21,168,210,749,109,0.102153,6596,0.593,246,239,feetflix/Nike KD 15 Aunt Pearl.jpg
Nike Dunk Low Retro PRM Valentine's Day 2023,Nike,120,2023-02-07,126,154,397,101,0.079136,9671,0.117,156,134,feetflix/Nike Dunk Low Retro PRM Valentine's Day 2023.jpg
adidas Yeezy Slide Bone (2022 Restock),adidas,60,2022-05-31,160,200,367,79,0.103233,75879,2.433,136,206,feetflix/adidas Yeezy Slide Bone (2022 Restock).jpg
Air Jordan 1 Low SE Concord,Jordan,120,2023-01-17,132,205,300,107,0.104063,7696,0.15,148,138,feetflix/Jordan 1 Low SE Concord.jpg
Nike Air Zoom Generation First Game 2023,Nike,180,2023-03-21,180,300,399,180,0.046294,241,0.267,232,228,feetflix/Nike Air Zoom Generation First Game 2023.jpg
Air Jordan 1 Retro High OG Chicago Lost and Found,Jordan,180,2022-11-19,269,445,2000,205,0.065939,31685,1.593,420,467,feetflix/Jordan 1 Retro High OG Chicago Lost and Found.jpg
Air Jordan 4 Retro Midnight Navy,Jordan,210,2022-10-29,250,330,720,194,0.064782,24564,0.31,309,275,feetflix/Jordan 4 Retro Midnight Navy.jpg
New Balance 530 White Silver Navy,New Balance,95,2021-02-17,99,156,209,50,0.10873,23539,0.449,101,138,feetflix/New Balance 530 White Silver Navy.jpg
Nike Dunk Low Arizona State,Nike,100,2022-11-25,76,110,285,75,0.059872,6015,-0.15,107,85,feetflix/Nike Dunk Low Arizona State.jpg
Nike Air Force 1 Low SP AMBUSH Phantom,Nike,190,2023-02-28,185,247,429,130,0.11796,2508,0.321,235,251,feetflix/Nike Air Force 1 Low SP AMBUSH Phantom.jpg
Nike Air Force 1 Low '07 Black Black,Nike,90,2017-09-22,83,115,230,60,0.165615,27192,0.211,113,109,feetflix/Nike Air Force 1 Low '07 Black Black.jpg
Nike Air Force 1 Low Supreme Black,Nike,96,2020-03-05,143,176,352,118,0.065124,17153,0.742,163,168,feetflix/Nike Air Force 1 Low Supreme Black.jpg
Nike Dunk Low Active Fuchsia GS,Nike,90,2023-03-01,109,150,218,91,0.103322,3170,0.622,142,146,feetflix/Nike Dunk Low Active Fuchsia GS.jpg
Air Jordan 6 Retro Cool Grey,Jordan,200,2023-02-25,170,179,343,130,0.0,4208,-0.12,187,176,feetflix/Jordan 6 Retro Cool Grey.jpg
New Balance 550 White Grey,New Balance,100,2022-01-14,83,150,336,67,0.25758,35197,-0.165,140,84,feetflix/New Balance 550 White Grey.jpg
Nike Dunk High Panda Black White 2021,Nike,110,2022-01-27,113,186,250,41,0.091388,39318,0.196,138,132,feetflix/Nike Dunk High Panda Black White 2021.jpg
adidas Samba Vegan White Gum,adidas,90,2021-06-16,93,141,483,41,0.172871,8156,0.474,134,133,feetflix/adidas Samba Vegan White Gum.jpg
Nike Dunk Low Phantom Metallic Gold W,Nike,110,2022-11-01,133,142,234,110,0.0,4978,0.291,149,142,feetflix/Nike Dunk Low Phantom Metallic Gold W.jpg
Puma LaMelo Ball MB.02 Rick & Morty Adventures,Puma,130,2023-02-17,130,201,450,110,0.164253,3452,0.154,160,150,feetflix/Puma LaMelo Ball MB.02 Rick & Morty Adventures.jpg
Air Jordan 13 Retro Playoffs 2023,Jordan,210,2023-02-18,171,225,352,101,0.090912,8891,0.043,225,219,feetflix/Jordan 13 Retro Playoffs 2023.jpg
Nike Blazer Mid 77 Vintage White Black,Nike,100,2019-03-25,63,76,199,45,0.205946,17250,-0.42,83,58,feetflix/Nike Blazer Mid 77 Vintage White Black.jpg
Nike SB Dunk Low Pro Black Gum,Nike,110,2023-03-01,126,160,300,69,0.049293,4075,0.318,153,145,feetflix/Nike SB Dunk Low Pro Black Gum.jpg
adidas Yeezy Slide Flax,adidas,70,2022-08-22,92,168,248,50,0.160002,32125,1.371,98,166,feetflix/adidas Yeezy Slide Flax.jpg
Nike Dunk Low Retro White Pure Platinum,Nike,110,2022-11-19,120,128,250,80,0.057885,2309,0.064,131,117,feetflix/Nike Dunk Low Retro White Pure Platinum.jpg
adidas Samba OG Black White Gum,adidas,80,2018-06-01,92,121,444,45,0.20948,5535,0.338,139,108,feetflix/adidas Samba OG Black White Gum.jpg
Nike Dunk Low Retro QS Argon 2022,Nike,130,2022-09-23,135,175,344,95,0.131544,21600,0.269,149,166,feetflix/Nike Dunk Low Retro QS Argon 2022.jpg
Air Jordan 4 Retro Military Black,Jordan,210,2022-05-21,346,450,918,201,0.100964,46171,1.199,351,462,feetflix/Jordan 4 Retro Military Black.jpg
Nike Dunk High Panda 2021 W,Nike,110,2021-07-27,112,122,206,90,0.08342,31036,0.127,139,124,feetflix/Nike Dunk High Panda 2021 W.jpg
Nike Air Max 1 PRM Dirty Denim,Nike,150,2022-08-26,82,114,410,64,0.195904,4898,-0.367,149,95,feetflix/Nike Air Max 1 PRM Dirty Denim.jpg
adidas Yeezy Slide Resin 2022,adidas,70,2022-09-24,91,155,208,40,0.158303,19902,0.614,99,113,feetflix/adidas Yeezy Slide Resin 2022.jpg
Air Jordan 1 Low SE Reverse Ice Blue W,Jordan,90,2023-01-09,115,121,276,100,0.093326,1849,0.378,131,124,feetflix/Jordan 1 Low SE Reverse Ice Blue W.jpg
Air Jordan 1 Retro High OG Patent Bred,Jordan,170,2021-12-30,213,314,473,0,0.105032,32313,0.329,262,226,feetflix/Jordan 1 Retro High OG Patent Bred.jpg
Air Jordan 5 Retro Aqua,Jordan,200,2023-02-04,178,259,400,100,0.107233,4642,-0.11,195,178,feetflix/Jordan 5 Retro Aqua.jpg
Nike Dunk Low Retro Reverse Brazil,Nike,110,2023-02-15,105,155,383,80,0.05214,3007,0.145,125,126,feetflix/Nike Dunk Low Retro Reverse Brazil.jpg
Air Jordan 1 Retro High 85 Black White 2023,Jordan,200,2023-02-15,273,375,589,244,0.110009,4953,0.3,325,261,feetflix/Jordan 1 Retro High 85 Black White 2023.jpg
Nike Dunk Low QS LeBron James Fruity Pebbles,Nike,120,2022-11-08,129,188,469,100,0.10209,17009,0.269,147,153,feetflix/Nike Dunk Low QS LeBron James Fruity Pebbles.jpg
Air Jordan 11 Retro Cool Grey 2021,Jordan,225,2021-12-11,174,381,530,101,0.214291,27806,0.262,298,284,feetflix/Jordan 11 Retro Cool Grey 2021.jpg
Air Jordan 4 Retro A Ma Maniére Violet Ore,Jordan,225,2022-11-23,243,511,1266,0,0.11708,13103,1.042,409,460,feetflix/Jordan 4 Retro A Ma Maniére Violet Ore.jpg
Air Jordan 1 Low Unity W,Jordan,110,2023-03-06,126,127,224,118,0.091778,386,0.136,144,125,feetflix/Jordan 1 Low Unity W.jpg
Nike Dunk Low Retro White Black Panda 2021 PS,Nike,65,2021-03-10,80,155,275,25,0.062408,20306,0.369,85,89,feetflix/Nike Dunk Low Retro White Black Panda 2021 PS.jpg
Air Jordan 1 Low True Blue,Jordan,110,2023-01-17,117,150,270,99,0.082372,4351,0.236,131,136,feetflix/Jordan 1 Low True Blue.jpg
Air Jordan 1 Mid White Metallic Gold Obsidian,Jordan,110,2019-08-01,120,136,658,101,0.070564,2221,0.1,149,121,feetflix/Jordan 1 Mid White Metallic Gold Obsidian.jpg
Air Jordan 1 Mid SE Ice Blue 2023,Jordan,135,2023-03-01,125,156,220,98,0.139299,1205,-0.037,145,130,feetflix/Jordan 1 Mid SE Ice Blue 2023.jpg
Nike Dunk Low Next Nature White Mint W,Nike,100,2022-03-11,104,151,354,69,0.074076,17548,0.402,152,141,feetflix/Nike Dunk Low Next Nature White Mint W.jpg
Nike SB Dunk Low Pro Why So Sad,Nike,120,2022-11-04,167,335,779,125,0.160034,17341,1.015,212,242,feetflix/Nike SB Dunk Low Pro Why So Sad.jpg
Air Jordan 1 Retro High OG Gorge Green,Jordan,180,2022-12-20,133,208,584,0,0.185281,6736,-0.278,182,130,feetflix/Jordan 1 Retro High OG Gorge Green.jpg
Air Jordan 1 Low Bred Toe,Jordan,100,2021-12-08,125,133,250,70,0.108082,27799,0.378,138,138,feetflix/Jordan 1 Low Bred Toe.jpg
Nike Air Max 1 '87 Great Indoors W,Nike,150,2023-03-15,150,192,501,91,0.306129,419,0.075,193,162,feetflix/Nike Air Max 1 '87 Great Indoors W.jpg
Crocs Pollex Clog by Salehe Bembury Sasquatch,Crocs,85,2022-11-10,107,120,681,70,0.095295,10751,0.741,115,148,feetflix/Crocs Pollex Clog by Salehe Bembury Sasquatch.jpg
Air Jordan 6 Retro Chrome Metallic Silver,Jordan,200,2022-11-26,207,350,394,76,0.11498,12150,0.161,221,233,feetflix/Jordan 6 Retro Chrome Metallic Silver.jpg
Air Jordan 1 Retro Low OG SP Travis Scott Black Phantom,Jordan,150,2022-12-15,447,702,2676,363,0.080052,10734,3.749,711,713,feetflix/Jordan 1 Retro Low OG SP Travis Scott Black Phantom.jpg
adidas Yeezy Boost 350 V2 Bone,adidas,230,2022-03-21,228,291,436,122,0.088451,42641,0.174,268,270,feetflix/adidas Yeezy Boost 350 V2 Bone.jpg
Air Jordan 1 Retro High OG White Cement,Jordan,180,2023-02-25,141,170,401,127,0.063876,1218,-0.191,182,146,feetflix/Jordan 1 Retro High OG White Cement.jpg
adidas Yeezy Boost 350 V2 Onyx,adidas,230,2022-03-05,333,400,1100,238,0.058127,18752,0.478,320,340,feetflix/adidas Yeezy Boost 350 V2 Onyx.jpg
Nike SB Dunk Low Pro ISO Orange Label Wolf Grey Gum,Nike,110,2023-02-24,140,191,330,110,0.085391,2995,0.764,184,194,feetflix/Nike SB Dunk Low Pro ISO Orange Label Wolf Grey Gum.jpg
Air Jordan 2 Retro OG Chicago 2022,Jordan,200,2022-12-30,136,225,650,110,0.099516,8500,0.1,235,220,feetflix/Jordan 2 Retro OG Chicago 2022.jpg
Air Jordan 1 Mid SE Space Jam GS,Jordan,120,2023-01-23,119,120,238,95,0.076064,1959,0.255,131,151,feetflix/Jordan 1 Mid SE Space Jam GS.jpg
Air Jordan 1 Retro High OG Taxi,Jordan,170,2022-09-24,150,192,638,0,0.054755,25764,0.195,209,204,feetflix/Jordan 1 Retro High OG Taxi.jpg
Nike Dunk High Blue Chill,Nike,125,2022-11-23,107,123,224,86,0.107724,4746,0.139,132,143,feetflix/Nike Dunk High Blue Chill.jpg
adidas Yeezy Foam RNR Onyx,adidas,80,2022-06-08,227,267,833,119,0.056543,67429,2.113,179,249,feetflix/adidas Yeezy Foam RNR Onyx.jpg
adidas Campus 80s South Park Towelie,adidas,100,2021-04-20,125,160,682,55,0.139886,10765,0.316,142,132,feetflix/adidas Campus 80s South Park Towelie.jpg
Nike Air Max 1 Corduroy Baltic Blue,Nike,160,2023-03-17,106,162,420,90,0.065713,422,-0.313,152,110,feetflix/Nike Air Max 1 Corduroy Baltic Blue.jpg
New Balance 2002R Protection Pack Rain Cloud,New Balance,150,2021-08-20,202,505,999,148,0.512381,9643,0.241,289,187,feetflix/New Balance 2002R Protection Pack Rain Cloud.jpg
Nike Dunk Low LX Black Suede Team Gold W,Nike,120,2023-03-09,120,139,274,99,0.082936,839,0.043,141,126,feetflix/Nike Dunk Low LX Black Suede Team Gold W.jpg
New Balance 550 White Black,New Balance,110,2021-12-01,95,120,351,80,0.120454,10288,-0.127,155,96,feetflix/New Balance 550 White Black.jpg
Air Jordan 1 Retro AJKO Low SP Union Sail Leather,Jordan,150,2023-02-02,166,320,999,130,0.144381,3354,0.067,204,160,feetflix/Jordan 1 Retro AJKO Low SP Union Sail Leather.jpg
Air Jordan 12 Retro SP A Ma Maniére White W,Jordan,225,2023-03-02,149,400,959,134,0.171075,1137,0.148,259,259,feetflix/Jordan 12 Retro SP A Ma Maniére White W.jpg
Nike Dunk Low USC,Nike,100,2022-10-19,127,180,379,115,0.17369,19838,0.68,161,168,feetflix/Nike Dunk Low USC.jpg
Nike Dunk Low Mineral Slate Armory Navy,Nike,120,2022-12-13,113,133,253,89,0.150821,6254,0.083,136,130,feetflix/Nike Dunk Low Mineral Slate Armory Navy.jpg
Air Jordan 4 Retro SE Black Canvas,Jordan,210,2022-10-05,316,355,618,224,0.066042,22481,0.875,324,394,feetflix/Jordan 4 Retro SE Black Canvas.jpg
Nike Air Max 2017 Triple Black,Nike,190,2017-01-01,100,145,250,74,0.124813,3427,-0.18,127,156,feetflix/Nike Air Max 2017 Triple Black.jpg
Nike Dunk Low Retro Pure Platinum Blue Lightning,Nike,110,2023-02-01,108,226,399,95,0.110568,1577,0.045,133,115,feetflix/Nike Dunk Low Retro Pure Platinum Blue Lightning.jpg
Air Jordan 3 Retro Fire Red 2022,Jordan,210,2022-09-10,205,255,512,0,0.073396,26878,0.095,232,230,feetflix/Jordan 3 Retro Fire Red 2022.jpg
Nike Dunk Low Setsubun 2022,Nike,110,2022-06-01,157,190,725,125,0.0,2393,0.373,212,151,feetflix/Nike Dunk Low Setsubun 2022.jpg
Nike SB Dunk Low Pro Fly Streetwear Gardenia,Nike,120,2023-03-25,225,333,490,160,0.192086,290,0.992,299,239,feetflix/Nike SB Dunk Low Pro Fly Streetwear Gardenia.jpg
Air Jordan 5 Retro DJ Khaled We The Best Crimson Bliss,Jordan,225,2022-11-28,149,280,2250,106,0.114768,9813,-0.147,236,192,feetflix/Jordan 5 Retro DJ Khaled We The Best Crimson Bliss.jpg
Nike SB Dunk Low Sandy Bodecker,Nike,130,2022-12-17,134,250,1025,100,0.081968,8981,0.538,220,200,feetflix/Nike SB Dunk Low Sandy Bodecker.jpg
NikeCraft General Purpose Shoe Tom Sachs Field Brown,Nike,110,2023-02-07,78,115,491,59,0.116907,5043,0.036,137,114,feetflix/NikeCraft General Purpose Shoe Tom Sachs Field Brown.jpg
adidas Yeezy Boost 350 V2 Zebra,adidas,220,2017-02-25,295,325,540,205,0.043609,36390,0.536,294,338,feetflix/adidas Yeezy Boost 350 V2 Zebra.jpg
Nike Air Force 1 Low '07 White W,Nike,110,2018-01-01,76,82,176,54,0.120459,12480,-0.113,98,98,feetflix/Nike Air Force 1 Low '07 White W.jpg
Nike Air Max 97 Triple White Wolf Grey,Nike,160,2017-08-01,100,120,254,50,0.133404,9198,-0.188,136,130,feetflix/Nike Air Max 97 Triple White Wolf Grey.jpg
adidas Yeezy Boost 350 V2 Beluga Reflective,adidas,240,2021-12-18,261,311,454,177,0.088463,24743,0.167,292,280,feetflix/adidas Yeezy Boost 350 V2 Beluga Reflective.jpg
Nike Dunk Low Retro White Black Panda 2021 (TD),Nike,50,2021-03-10,69,85,130,40,0.027492,14153,0.48,68,74,feetflix/Nike Dunk Low Retro White Black Panda 2021 (TD).jpg
adidas Yeezy Boost 350 V2 Slate,adidas,230,2022-09-03,231,288,495,150,0.195351,18852,0.152,259,265,feetflix/adidas Yeezy Boost 350 V2 Slate.jpg
Nike Dunk Low Peach Cream W,Nike,100,2022-09-17,115,130,332,96,0.082448,9794,0.445,132,145,feetflix/Nike Dunk Low Peach Cream W.jpg
Air Jordan 11 Retro Cherry 2022 GS,Jordan,185,2022-12-10,145,215,327,120,0.105606,17422,-0.157,202,156,feetflix/Jordan 11 Retro Cherry 2022 GS.jpg
Air Jordan 1 Mid True Blue,Jordan,125,2022-12-02,106,150,277,100,0.078704,2385,0.234,142,155,feetflix/Jordan 1 Mid True Blue.jpg
adidas Yeezy Slide Glow Green 2022 (Restock),adidas,60,2022-05-31,87,161,408,50,0.11078,29958,1.033,104,122,feetflix/adidas Yeezy Slide Glow Green 2022 (Restock).jpg
Nike Dunk Low SE Lottery Pack Grey Fog,Nike,120,2022-08-31,175,250,380,127,0.110318,15582,1.242,202,269,feetflix/Nike Dunk Low SE Lottery Pack Grey Fog.jpg
Air Jordan 1 Low SE Concord GS,Jordan,95,2023-01-17,97,118,185,80,0.137156,2178,0.105,116,105,feetflix/Jordan 1 Low SE Concord GS.jpg
Air Jordan 1 Mid White Black Red 2022,Jordan,120,2022-06-01,102,175,204,50,0.140001,14304,-0.05,122,114,feetflix/Jordan 1 Mid White Black Red 2022.jpg
Nike Dunk Low Essential Paisley Pack Pink W,Nike,110,2023-02-07,125,135,359,109,0.085476,3952,0.173,154,129,feetflix/Nike Dunk Low Essential Paisley Pack Pink W.jpg
New Balance 550 Sea Salt Pine Green,New Balance,120,2023-02-05,93,112,348,83,0.170289,750,0.042,129,125,feetflix/New Balance 550 Sea Salt Pine Green.jpg
Air Jordan 4 Retro SE Craft Photon Dust GS,Jordan,150,2023-02-11,134,170,299,117,0.084796,2489,0.402,191,211,feetflix/Jordan 4 Retro SE Craft Photon Dust GS.jpg
Air Jordan 2 Retro Lucky Green,Jordan,175,2023-02-03,141,160,414,105,0.073108,2155,-0.114,165,155,feetflix/Jordan 2 Retro Lucky Green.jpg
Nike Dunk Low SE Lottery Pack Malachite Green,Nike,120,2022-08-31,170,255,383,124,0.09493,14432,0.663,183,200,feetflix/Nike Dunk Low SE Lottery Pack Malachite Green.jpg
Nike SB Dunk Low Concepts Orange Lobster,Nike,120,2022-12-20,272,695,1763,238,0.220112,7418,3.525,506,543,feetflix/Nike SB Dunk Low Concepts Orange Lobster.jpg
Air Jordan 1 Retro AJKO Low SP Union White Canvas,Jordan,150,2023-02-02,111,155,579,90,0.126051,2863,0.168,178,176,feetflix/Jordan 1 Retro AJKO Low SP Union White Canvas.jpg
New Balance 550 Aime Leon Dore Brown,New Balance,130,2022-06-21,144,180,750,120,0.13028,1887,0.077,281,140,feetflix/New Balance 550 Aime Leon Dore Brown.jpg
Air Jordan 1 Retro High OG Starfish W,Jordan,180,2022-10-27,121,186,560,108,0.088591,14955,-0.006,180,179,feetflix/Jordan 1 Retro High OG Starfish W.jpg
Air Jordan 1 Retro High OG Reverse Laney W,Jordan,180,2023-02-17,118,249,505,95,0.185056,1702,-0.044,179,172,feetflix/Jordan 1 Retro High OG Reverse Laney W.jpg
Air Max 95 Anatomy of Air GID,Nike,180,2022-06-23,87,105,252,65,0.125163,1298,-0.266,131,133,feetflix/Air Max 95 Anatomy of Air GID.jpg
Air Jordan 1 Low Aluminum W,Jordan,100,2022-11-10,147,170,279,98,0.102892,8997,0.898,154,190,feetflix/Jordan 1 Low Aluminum W.jpg
Air Jordan 1 Mid Light Smoke Grey,Jordan,115,2020-06-09,179,325,600,117,0.09233,22092,1.007,186,231,feetflix/Jordan 1 Mid Light Smoke Grey.jpg
Nike Court Legacy Lift White Black W,Nike,80,2022-07-02,73,76,168,50,0.088411,14818,0.113,89,90,feetflix/Nike Court Legacy Lift White Black W.jpg
Air Jordan 13 Retro Black University Blue,Jordan,200,2022-12-23,146,190,538,121,0.070196,3797,-0.21,176,158,feetflix/Jordan 13 Retro Black University Blue.jpg
Nike Dunk Low Photon Dust W,Nike,100,2021-05-19,164,240,463,144,0.094881,999,0.81,319,181,feetflix/Nike Dunk Low Photon Dust W.jpg
Air Jordan 12 Retro SP A Ma Maniére Black W,Jordan,225,2023-02-24,102,335,500,53,0.171158,1341,0.059,239,239,feetflix/Jordan 12 Retro SP A Ma Maniére Black W.jpg
adidas Yeezy Slide Pure (Restock Pair),adidas,60,2021-12-13,170,225,310,36,0.123085,63179,1.92,159,176,feetflix/adidas Yeezy Slide Pure (Restock Pair).jpg
Air Jordan 4 Retro Red Thunder,Jordan,190,2022-01-15,367,400,828,195,0.085827,19250,1.288,355,435,feetflix/Jordan 4 Retro Red Thunder.jpg
Air Jordan 4 Retro Canyon Purple W,Jordan,200,2022-10-15,159,330,511,124,0.333513,15628,0.0,237,200,feetflix/Jordan 4 Retro Canyon Purple W.jpg
adidas Forum Buckle Low Bad Bunny Last Forum,adidas,160,2022-12-10,169,226,530,148,0.116946,9392,0.503,247,241,feetflix/adidas Forum Buckle Low Bad Bunny Last Forum.jpg
Air Jordan 4 Retro Midnight Navy GS,Jordan,160,2022-10-29,175,218,357,138,0.168946,8877,0.494,236,239,feetflix/Jordan 4 Retro Midnight Navy GS.jpg
Nike Air Max 1 Crepe Brown 2022,Nike,180,2022-09-15,105,133,477,40,0.196928,4565,-0.261,169,133,feetflix/Nike Air Max 1 Crepe Brown 2022.jpg
Nike Dunk Low Stencil Swoosh,Nike,110,2022-12-21,118,131,211,102,0.066964,1774,0.064,144,117,feetflix/Nike Dunk Low Stencil Swoosh.jpg
Nike Air Max 95 SP Corteiz Gutta Green,Nike,190,2023-03-10,226,375,605,215,0.133525,225,0.745,357,332,feetflix/Nike Air Max 95 SP Corteiz Gutta Green.jpg
Nike Dunk Low Safari Mix W,Nike,120,2022-05-05,120,201,492,72,0.246034,23763,0.276,141,154,feetflix/Nike Dunk Low Safari Mix W.jpg
Nike Dunk Low SP Kentucky (2020/2022),Nike,100,2020-03-14,194,267,1190,134,0.123633,10192,0.87,230,187,feetflix/Nike Dunk Low SP Kentucky (2020-2022).jpg
Nike Air VaporMax Plus Triple Black,Nike,190,2018-01-25,150,450,400,88,0.086276,8228,-0.184,177,155,feetflix/Nike Air VaporMax Plus Triple Black.jpg
adidas Campus Light Bad Bunny Cream,adidas,160,2023-02-25,163,230,633,152,0.181755,1810,0.031,234,165,feetflix/adidas Campus Light Bad Bunny Cream.jpg
adidas Yeezy Boost 350 V2 Black Red (2017/2020),adidas,220,2017-02-11,270,500,805,215,0.15,13182,0.485,374,327,feetflix/adidas Yeezy Boost 350 V2 Black Red (2017-2020).jpg
Nike Air Force 1 Low Drake NOCTA Certified Lover Boy,Nike,160,2022-12-08,165,195,600,131,0.057581,9370,0.355,206,217,feetflix/Nike Air Force 1 Low Drake NOCTA Certified Lover Boy.jpg
Nike Air Max Penny 1 Orlando 2022,Nike,170,2022-08-11,137,350,700,100,0.052987,3165,0.229,295,209,feetflix/Nike Air Max Penny 1 Orlando 2022.jpg
Nike Zoom Vomero 5 Doernbecher,Nike,180,2023-02-25,265,400,577,170,0.153211,465,1.111,272,380,feetflix/Nike Zoom Vomero 5 Doernbecher.jpg
Air Jordan 1 High OG Denim W,Jordan,170,2022-09-23,153,261,447,100,0.176584,14649,0.865,199,317,feetflix/Jordan 1 High OG Denim W.jpg
