item,brand,retail,release,lowestAsk,highestBid,annualHigh,annualLow,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,img_path
Nike Dunk High Panda 2021 (W),Nike,110,2021-07-27,134,170,321,78,0.066889,34060,0.455,168,160,feetflix/Nike Dunk High Panda 2021 (W).jpg
Crocs Pollex Clog by Salehe Bembury Crocodile,Crocs,85,2022-05-24,111,150,630,108,0.177144,1889,0.412,174,120,feetflix/Crocs Pollex Clog by Salehe Bembury Crocodile.jpg
Air Jordan 4 Retro Red Thunder,Jordan,190,2022-01-15,298,325,1000,192,0.070898,37855,0.663,335,316,feetflix/Jordan 4 Retro Red Thunder.jpg
Air Jordan 1 Retro High Dark Mocha,Jordan,170,2020-10-31,415,600,1153,230,0.051921,17358,1.5,522,425,feetflix/Jordan 1 Retro High Dark Mocha.jpg
Nike Dunk Low Chlorophyll GS,Nike,85,2022-01-15,90,126,280,86,0.108526,2281,0.635,125,139,feetflix/Nike Dunk Low Chlorophyll GS.jpg
New Balance 530 White Silver Navy,New Balance,95,2021-02-17,89,175,350,62,0.062817,8709,0.032,119,98,feetflix/New Balance 530 White Silver Navy.jpg
adidas Yeezy Boost 350 V2 Core Black White,adidas,220,2016-12-17,273,375,2875,270,0.042823,20788,0.409,333,310,feetflix/adidas Yeezy Boost 350 V2 Core Black White.jpg
Air Jordan 1 Mid Light Smoke Grey GS,Jordan,90,2022-04-07,126,146,240,121,0.067546,907,0.622,158,146,feetflix/Jordan 1 Mid Light Smoke Grey GS.jpg
Air Jordan 9 Retro Chile Red,Jordan,200,2022-05-07,215,260,900,190,0.023273,7047,0.145,259,229,feetflix/Jordan 9 Retro Chile Red.jpg
Nike Air VaporMax 2021 FK White Black Metallic Silver,Nike,200,2021-06-24,91,174,383,40,0.178239,3536,-0.535,143,93,feetflix/Nike Air VaporMax 2021 FK White Black Metallic Silver.jpg
Nike Air Max 90 Terrascape Sail Sea Glass,Nike,140,2021-10-28,83,140,392,79,0.212384,6596,-0.257,146,104,feetflix/Nike Air Max 90 Terrascape Sail Sea Glass.jpg
Nike Blazer Mid 77 Vintage White Black,Nike,100,2019-03-25,68,80,276,38,0.14915,24591,-0.21,95,79,feetflix/Nike Blazer Mid 77 Vintage White Black.jpg
Air Jordan 1 Mid Mystic Navy Mint Foam,Jordan,120,2022-04-01,115,165,295,103,0.040262,2668,0.0,145,120,feetflix/Jordan 1 Mid Mystic Navy Mint Foam.jpg
adidas Yeezy Boost 350 V2 Black Red (2017/2020),adidas,220,2017-02-11,285,501,875,0,0.175508,31355,0.205,404,265,feetflix/adidas Yeezy Boost 350 V2 Black Red (2017-2020).jpg
adidas Adilette 22 Slides Magic Lime,adidas,55,2022-06-01,66,72,151,55,0.089127,463,0.2,76,66,feetflix/adidas Adilette 22 Slides Magic Lime.jpg
adidas Yeezy Foam RNR Onyx (Kids),adidas,60,2022-06-08,114,160,223,95,0.032812,327,1.033,120,122,feetflix/adidas Yeezy Foam RNR Onyx (Kids).jpg
Nike Dunk Low Two Tone Grey,Nike,100,2022-03-01,165,250,388,146,0.140028,9022,0.7,204,170,feetflix/Nike Dunk Low Two Tone Grey.jpg
Air Jordan 1 Retro Low OG Mystic Navy,Jordan,130,2022-06-14,175,200,354,149,0.070241,184,0.231,193,160,feetflix/Jordan 1 Retro Low OG Mystic Navy.jpg
Air Jordan 3 Retro Cardinal Red,Jordan,200,2022-02-19,210,226,572,188,0.026534,24482,0.15,252,230,feetflix/Jordan 3 Retro Cardinal Red.jpg
Nike Dunk Low Championship Court Purple,Nike,100,2022-05-05,176,290,512,154,0.066574,13052,0.76,208,176,feetflix/Nike Dunk Low Championship Court Purple.jpg
Nike Air Presto Hello Kitty 2022,Nike,140,2022-05-27,116,225,514,90,0.151221,4384,-0.093,165,127,feetflix/Nike Air Presto Hello Kitty 2022.jpg
Nike Air Force 1 Low Puerto Rico 2022,Nike,120,2022-06-04,139,210,399,121,0.227714,1458,0.183,171,142,feetflix/Nike Air Force 1 Low Puerto Rico 2022.jpg
Air Jordan 6 Retro Midnight Navy 2022,Jordan,190,2022-05-11,170,200,675,140,0.067352,6069,0.016,217,193,feetflix/Jordan 6 Retro Midnight Navy 2022.jpg
Air Jordan 1 Retro High White University Blue Black,Jordan,170,2021-03-06,345,510,764,220,0.129407,27897,1.647,419,450,feetflix/Jordan 1 Retro High White University Blue Black.jpg
Nike Air Trainer 1 SP Travis Scott Wheat,Nike,140,2022-05-27,147,202,797,108,0.133158,2606,0.05,231,147,feetflix/Nike Air Trainer 1 SP Travis Scott Wheat.jpg
Nike SB Dunk Low Green Apple,Nike,110,2022-05-01,194,260,956,150,0.056003,1565,1.1,248,231,feetflix/Nike SB Dunk Low Green Apple.jpg
adidas Yeezy Foam RNNR Ochre,adidas,80,2021-08-02,157,242,540,128,0.083852,48735,1.625,210,210,feetflix/adidas Yeezy Foam RNNR Ochre.jpg
Nike Dunk Low Next Nature White Mint (W),Nike,100,2022-03-11,138,182,354,112,0.161268,7968,0.42,158,142,feetflix/Nike Dunk Low Next Nature White Mint (W).jpg
Air Jordan 5 Retro Low CLOT Jade,Jordan,200,2022-05-14,143,380,489,120,0.089822,2242,-0.285,197,143,feetflix/Jordan 5 Retro Low CLOT Jade.jpg
adidas Adilette 22 Slides Black,adidas,55,2021-06-18,62,150,211,60,0.141296,369,1.836,97,156,feetflix/adidas Adilette 22 Slides Black.jpg
Crocs Pollex Clog by Salehe Bembury Stratus,Crocs,85,2022-05-24,159,200,750,144,0.066836,2075,0.871,213,159,feetflix/Crocs Pollex Clog by Salehe Bembury Stratus.jpg
Nike Dunk Low Easter 2022 (W),Nike,110,2022-04-17,114,126,243,101,0.154679,2546,0.127,151,124,feetflix/Nike Dunk Low Easter 2022 (W).jpg
Nike Air Force 1 Low White Navy Grey,Nike,100,2022-04-01,141,146,214,120,0.026605,546,0.62,151,162,feetflix/Nike Air Force 1 Low White Navy Grey.jpg
Air Jordan 1 Retro High OG Brotherhood,Jordan,170,2022-02-24,133,164,500,115,0.073686,11673,-0.153,198,144,feetflix/Jordan 1 Retro High OG Brotherhood.jpg
Nike Dunk High Pink Prime (W),Nike,115,2022-05-05,128,135,349,100,0.151952,8180,0.087,158,125,feetflix/Nike Dunk High Pink Prime (W).jpg
Air Jordan 1 Retro Low Golf Wolf Grey,Jordan,140,2022-01-20,155,242,725,145,0.043576,7955,0.186,239,166,feetflix/Jordan 1 Retro Low Golf Wolf Grey.jpg
Nike Air Trainer 1 SP Travis Scott Grey Haze,Nike,160,2022-05-27,148,190,651,131,0.074079,2260,-0.056,221,151,feetflix/Nike Air Trainer 1 SP Travis Scott Grey Haze.jpg
Air Jordan 1 Low OG Bleached Coral,Jordan,130,2022-04-01,152,180,258,135,0.071635,548,0.131,171,147,feetflix/Jordan 1 Low OG Bleached Coral.jpg
Nike Dunk Low Retro Sun Club Wheat Grass Orange,Nike,100,2022-05-01,122,220,424,109,0.135052,2979,0.35,164,135,feetflix/Nike Dunk Low Retro Sun Club Wheat Grass Orange.jpg
Nike Dunk Low Chlorophyll,Nike,100,2022-05-01,136,255,368,108,0.252608,2372,0.36,160,136,feetflix/Nike Dunk Low Chlorophyll.jpg
Nike Dunk High Retro Cargo Khaki 2021,Nike,110,2022-04-01,120,127,435,72,0.219471,3005,0.155,147,127,feetflix/Nike Dunk High Retro Cargo Khaki 2021.jpg
Air Jordan 1 Mid Sonics 2021,Jordan,115,2021-11-01,118,200,319,90,0.059083,4402,0.122,151,129,feetflix/Jordan 1 Mid Sonics 2021.jpg
Nike Dunk Low Black White 2022,Nike,100,2022-05-01,112,151,278,87,0.153214,2098,0.11,133,111,feetflix/Nike Dunk Low Black White 2022.jpg
adidas Yeezy Foam RNR Onyx (Infants),adidas,40,2022-06-08,92,127,174,68,0.037154,265,1.4,101,96,feetflix/adidas Yeezy Foam RNR Onyx (Infants).jpg
